"","Afatinib.down_Neratinib.down","Afatinib.up_Neratinib.up","Afatinib.down_NA","Afatinib.up_NA","Neratinib.down_NA","Neratinib.up_NA"
"303","Gtse1","Gcnt2",NA,NA,"Lpgat1","Hexb"
"304","H2ac15","Gdi1",NA,NA,"Lpl","Hey1"
"305","H2ac24","Gdpd2",NA,NA,"Lratd2","Hipk3"
"306","H2ac7","Gdpd3",NA,NA,"Lrrk2","Hk1"
"307","H2az1","Gem",NA,NA,"Lsg1","Hmgcl"
"308","Haspin","Ggnbp1",NA,NA,"Lsm11","Hoxa2"
"309","Hat1","Glcci1",NA,NA,"Lsm12","Hoxc6"
"310","Haus1","Glis3",NA,NA,"Lsm7","Hpgds"
"311","Haus3","Glrx",NA,NA,"Lsm8","Hps1"
"312","Haus5","Gm15433",NA,NA,"Ly75","Hrc"
"313","Haus6","Gnal",NA,NA,"Lyn","Hsf4"
"314","Hells","Gng8",NA,NA,"Lyz2","Hspa1a"
"315","Hirip3","Gpm6b",NA,NA,"Magel2","Hunk"
"316","Hjurp","Gpnmb",NA,NA,"Magoh","Hykk"
"317","Hk2","Gpr137c",NA,NA,"Mak16","Icam5"
"318","Hmga1","Gpr146",NA,NA,"Mal","Id3"
"319","Hmga1b","Gpr179",NA,NA,"Map1a","Ifi30"
"320","Hmga2","Gpr75",NA,NA,"Map3k9","Ifit2"
"321","Hmgb2","Gprasp2",NA,NA,"Mapk4","Igbp1"
"322","Hmgcr","Gprc5c",NA,NA,"Marchf4","Igdcc4"
"323","Hmgcs1","Gria3",NA,NA,"Mars1","Igfbpl1"
"324","Hmgn2","Grina",NA,NA,"Mast1","Iglon5"
"325","Hmgn5","Grm7",NA,NA,"Mbd3","Ikbke"
"326","Hmmr","Gsap",NA,NA,"Mcam","Il11ra1"
"327","Hmx2","Gsdma",NA,NA,"Mcph1","Ing4"
"328","Hnrnpa3","Gstm1",NA,NA,"Mcpt8","Inha"
"329","Hnrnpab","Gsto2",NA,NA,"Mcrip2","Inhbb"
"330","Hnrnpd","Gvin2",NA,NA,"Mdm1","Inka2"
"331","Homer1","Gzmm",NA,NA,"Mdn1","Ip6k3"
"332","Hrob","H1f2",NA,NA,"Med19","Ipo13"
"333","Hsd17b7","H2ac18",NA,NA,"Med8","Iqank1"
